datetime_day,ADFS\BASIN_LEVEL\PROCESS_VALUE,ADFS\EFFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_FLOW\PROCESS_VALUE,ADFS\WASTE_FLOW\PROCESS_VALUE,ADFS\WASTE_VACUUM\PROCESS_VALUE,ADFS\CURRENT_MODE,SEPARATOR\WASTE_FLOW\PROCESS_VALUE,SEPARATOR\TANK_LEVEL\PROCESS_VALUE,SEPARATOR\CURRENT_MODE,ADFS\INFLUENT_VALVE\POSITION_FB\PROCESS_VALUE,SEPARATOR\SR_CURRENT_MODE,SEPARATOR\INFLUENT_FLOW\PROCESS_VALUE,SEPARATOR\INFLUENT_TANK_LEVEL\PROCESS_VALUE,ADFS\WASTE_PUMP_1\SPEED_OUT,ADFS\SCUM_REMOVAL_MODE,ADFS\BASIN_PH\PROCESS_VALUE,ADFS\INFLUENT_FLOW\TOTAL_FOREVER,ADFS\WASTE_TSS\PROCESS_VALUE,SEPARATOR\INFLUENT_FLOW\TOTAL_FOREVER,SEPARATOR\WASTE_FLOW\TOTAL_FOREVER,ADFS\INFLUENT_FLOW\PID\OUTPUT,ADFS\INFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\EFFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\INHIBIT_WASTE_FLOW
2019-10-18,9.73829546355513,51.76727676,488.77197201918193,56.32825913105208,6.758747951245428,2.6397840097543983,0,0,0,30.690465449242872,0,0,0,16.040294954421412,0,5.731761301981653,0.3409159208732509,150,0,0,26.65436382047727,-0.29785544,140.18401839184173,49.05662922622075,0
2019-10-19,9.670680150546394,51.76727676,486.59301633885264,57.24887686639241,6.908997018080943,2.6924863546626407,0,0,0,31.440834899166763,0,0,0,16.107769132504934,0,6.040114012083962,0.3146574853036813,150,0,0,27.368761352367322,-0.29785544,129.42486262647543,50.90679590353908,0
2019-10-20,9.709651723161441,51.76727676,509.04464946134146,62.38996562727004,7.015672025333333,2.749477351916376,0,0,0,33.36935234460859,0,0,0,17.177293844367014,0,6.216124469951219,0.31696828451045295,150,0,0,29.056794952727643,-0.29785544,127.14896424217015,51.22437730127352,0
2019-10-21,6.864259409954706,51.76727676,279.2111773897422,37.45463366101097,3.8461196434004994,1.658033795946809,0,0,0,18.520414866735962,0,0,0,10.161837291678765,0.39178909470994716,6.138901986415423,0.29014285948841534,150,0,0,15.542808473453341,-0.29785544,98.61451434975262,29.433379997652285,0
2019-10-22,3.84670120569338,51.76727676,192.29402980074914,26.65223767303833,1.8137907494576075,0.8168989547038329,0,0,0,15.207029345619627,0,0,0,5.533333333333332,1.0086527293844367,6.4895354783559815,0.031861967827526136,150,0,0,12.137410187074332,-0.29785544,87.99124405418758,17.02734889782404,0
2019-10-23,9.045564739821138,51.76727676,320.41873725911324,49.180616683368754,3.2823196651080138,2.087979094076655,0,0,0,21.43771102421719,0,0,0,9.350580720092916,1.0138792102206737,6.388060753753194,0.28913930917479674,150,0,0,18.257462622558652,-0.29785544,109.25731104259467,37.10572097643205,0.24407665505226478
2019-10-24,8.97861748048432,51.76727676,382.23393058776134,34.57135231417596,2.225599386192799,1.9491289198606272,0,0,0,25.01452136844367,0,0,0,6.909988385598142,1,6.359785013915795,0.16010658235481998,150,0,0,21.329593890196865,-0.29785544,99.50143306572997,45.987901326541234,0.4457607433217189
2019-10-25,9.46950307826645,51.76727676,502.6833116836338,58.221035374635576,4.221466622191184,2.5828445322027993,0,0,0,31.065042605601953,0,0,0,11.286718160171903,0.5718102096521285,6.483446903721471,0.33966979097392414,150,0,0,26.97490607995238,-0.29785544,127.53379116153725,42.820683867308205,0
2019-10-26,9.517226223174005,51.76727676,482.8878107247892,59.32591275641131,5.138216410754443,2.528632826112208,0,0,0,30.99699590432745,0,0,0,11.684341967708212,0,6.3990984631356715,0.3161073182355674,150,0,0,26.71428782669648,-0.29785544,126.61554092043849,51.72732742467592,0
2019-10-27,10.000050252958768,51.76727676,513.1181745701452,141.30139116169337,9.645317097933217,2.7657375145180025,0,0,0,35.93687027237863,0,0,0,28.21829268292683,0,6.635563196030779,0.3135978689535424,150,0,0,31.61172525615157,-0.29785544,190.1620096138223,59.19011768536295,0
2019-10-28,10.039645355542197,51.76727676,516.3398290470296,134.43400397158797,8.977333511658825,2.740663297903235,0,0,0,32.0598995063205,0,0,0,26.584480455363884,0,6.673448792237904,0.34935439038856947,150,0,0,27.803520251758727,-0.29785544,173.56497500270024,55.59793020815822,0
2019-10-29,9.700361781175378,51.76727676,497.68626051415043,83.84029474511092,6.348399906160279,2.515853658536585,0,0,0,31.157824730645178,0,0,0,17.196864111498257,0,6.6323331267909404,0.3298123939872242,150,0,0,26.924309358231127,-0.29785544,144.25855949175087,46.4908330059036,0
2019-10-30,9.510218688698606,51.76727676,486.80634223180664,62.46539628828223,4.683322993663182,2.6711382113821136,0,0,0,30.503563357793265,0,0,0,12.829094076655052,0,6.48880731571777,0.323220821170151,150,0,0,26.203415131620208,-0.29785544,130.1455547115842,45.87274438577816,0.004181184668989547
2019-10-31,9.439541672950229,51.76727676,461.06112776085314,40.55904875313956,3.579750826010802,2.3654103025727395,0,0,0,28.05923354716418,0,0,0,8.86944654161101,0.0051106336024159356,6.156861649390208,0.32096301972239966,150,0,0,24.0783498394779,-0.29785544,120.25091370984958,44.37435593412974,0
2019-11-01,9.404406660421603,51.76727676,461.1315720810441,46.822919623800814,4.379420542779907,2.566260162601626,0,0,0,28.799050303624274,0,0,0,9.780603948896632,0,6.215240986182346,0.29640356818408825,150,0,0,24.90882154042915,-0.29785544,120.26908389323346,49.273573011512774,0
